timestamp,stage,taskId,durationMs,queueSize,workerId
1772826818354,PROCESS,10000ms,0,0,DefaultDispatcher-worker-34
1772826818462,DECODE,6000ms,681,0,DefaultDispatcher-worker-10
1772826818462,PROCESS,6000ms,0,0,DefaultDispatcher-worker-10
1772826818582,DECODE,13000ms,688,0,DefaultDispatcher-worker-55
1772826818583,PROCESS,13000ms,0,0,DefaultDispatcher-worker-55
1772826818695,DECODE,11000ms,702,0,DefaultDispatcher-worker-9
1772826818695,PROCESS,11000ms,0,0,DefaultDispatcher-worker-9
1772826818815,DECODE,12000ms,743,0,DefaultDispatcher-worker-35
1772826818815,PROCESS,12000ms,0,0,DefaultDispatcher-worker-35
1772826818904,DECODE,15000ms,707,0,DefaultDispatcher-worker-4
1772826818905,PROCESS,15000ms,0,0,DefaultDispatcher-worker-4
1772826819021,DECODE,7000ms,715,0,DefaultDispatcher-worker-14
1772826819022,PROCESS,7000ms,0,0,DefaultDispatcher-worker-14
1772826819115,DECODE,18000ms,700,0,DefaultDispatcher-worker-7
1772826819115,PROCESS,18000ms,0,0,DefaultDispatcher-worker-7
1772826819219,DECODE,14000ms,699,0,DefaultDispatcher-worker-10
1772826819220,PROCESS,14000ms,0,0,DefaultDispatcher-worker-10
1772826819320,DECODE,20000ms,665,0,DefaultDispatcher-worker-34
1772826819320,PROCESS,20000ms,0,0,DefaultDispatcher-worker-34
1772826819426,DECODE,16000ms,658,0,DefaultDispatcher-worker-11
1772826819427,PROCESS,16000ms,0,0,DefaultDispatcher-worker-11
1772826819547,DECODE,28000ms,665,0,DefaultDispatcher-worker-9
1772826819548,PROCESS,28000ms,0,0,DefaultDispatcher-worker-9
1772826819671,DECODE,22000ms,691,0,DefaultDispatcher-worker-35
1772826819672,PROCESS,22000ms,0,0,DefaultDispatcher-worker-35
1772826819761,DECODE,25000ms,662,0,DefaultDispatcher-worker-4
1772826819761,PROCESS,25000ms,0,0,DefaultDispatcher-worker-4
1772826819856,DECODE,17000ms,675,0,DefaultDispatcher-worker-14
1772826819857,PROCESS,17000ms,0,0,DefaultDispatcher-worker-14
1772826819961,DECODE,33000ms,138,0,DefaultDispatcher-worker-35
1772826819961,PROCESS,33000ms,0,0,DefaultDispatcher-worker-35
1772826820061,DECODE,37000ms,153,0,DefaultDispatcher-worker-4
1772826820062,PROCESS,37000ms,0,0,DefaultDispatcher-worker-4
1772826820167,DECODE,1000ms,877,0,DefaultDispatcher-worker-7
1772826820167,PROCESS,1000ms,0,0,DefaultDispatcher-worker-7
1772826820268,DECODE,34000ms,875,0,DefaultDispatcher-worker-10
1772826820269,PROCESS,34000ms,0,0,DefaultDispatcher-worker-10
1772826820373,DECODE,24000ms,875,0,DefaultDispatcher-worker-34
1772826820373,PROCESS,24000ms,0,0,DefaultDispatcher-worker-34
1772826820441,DECODE,35000ms,825,0,DefaultDispatcher-worker-11
1772826820442,PROCESS,35000ms,0,0,DefaultDispatcher-worker-11
1772826820565,DECODE,41000ms,826,0,DefaultDispatcher-worker-9
1772826820566,PROCESS,41000ms,0,0,DefaultDispatcher-worker-9
1772826820670,DECODE,38000ms,642,0,DefaultDispatcher-worker-14
1772826820671,PROCESS,38000ms,0,0,DefaultDispatcher-worker-14
1772826820770,DECODE,30000ms,655,0,DefaultDispatcher-worker-35
1772826820770,PROCESS,30000ms,0,0,DefaultDispatcher-worker-35
1772826820844,DECODE,43000ms,613,0,DefaultDispatcher-worker-4
1772826820844,PROCESS,43000ms,0,0,DefaultDispatcher-worker-4
1772826820960,DECODE,19000ms,621,0,DefaultDispatcher-worker-7
1772826820960,PROCESS,19000ms,0,0,DefaultDispatcher-worker-7
1772826821052,DECODE,36000ms,629,0,DefaultDispatcher-worker-10
1772826821053,PROCESS,36000ms,0,0,DefaultDispatcher-worker-10
1772826821145,DECODE,40000ms,636,0,DefaultDispatcher-worker-34
1772826821146,PROCESS,40000ms,0,0,DefaultDispatcher-worker-34
1772826821253,DECODE,46000ms,629,0,DefaultDispatcher-worker-62
1772826821254,PROCESS,46000ms,0,0,DefaultDispatcher-worker-62
1772826821329,DECODE,53000ms,588,0,DefaultDispatcher-worker-14
1772826821330,PROCESS,53000ms,0,0,DefaultDispatcher-worker-14
1772826821457,DECODE,27000ms,608,0,DefaultDispatcher-worker-9
1772826821457,PROCESS,27000ms,0,0,DefaultDispatcher-worker-9
1772826821541,DECODE,52000ms,634,0,DefaultDispatcher-worker-35
1772826821542,PROCESS,52000ms,0,0,DefaultDispatcher-worker-35
1772826821642,DECODE,50000ms,619,0,DefaultDispatcher-worker-4
1772826821643,PROCESS,50000ms,0,0,DefaultDispatcher-worker-4
1772826821753,DECODE,45000ms,634,0,DefaultDispatcher-worker-11
1772826821753,PROCESS,45000ms,0,0,DefaultDispatcher-worker-11
1772826821855,DECODE,57000ms,636,0,DefaultDispatcher-worker-10
1772826821856,PROCESS,57000ms,0,0,DefaultDispatcher-worker-10
1772826821955,DECODE,49000ms,630,0,DefaultDispatcher-worker-34
1772826821956,PROCESS,49000ms,0,0,DefaultDispatcher-worker-34
1772826822063,DECODE,42000ms,667,0,DefaultDispatcher-worker-62
1772826822063,PROCESS,42000ms,0,0,DefaultDispatcher-worker-62
1772826822173,DECODE,39000ms,651,0,DefaultDispatcher-worker-14
1772826822173,PROCESS,39000ms,0,0,DefaultDispatcher-worker-14
1772826822269,DECODE,62000ms,650,0,DefaultDispatcher-worker-7
1772826822270,PROCESS,62000ms,0,0,DefaultDispatcher-worker-7
1772826822366,DECODE,60000ms,652,0,DefaultDispatcher-worker-35
1772826822366,PROCESS,60000ms,0,0,DefaultDispatcher-worker-35
1772826822444,DECODE,54000ms,620,0,DefaultDispatcher-worker-4
1772826822444,PROCESS,54000ms,0,0,DefaultDispatcher-worker-4
1772826822584,DECODE,59000ms,163,0,DefaultDispatcher-worker-7
1772826822584,PROCESS,59000ms,0,0,DefaultDispatcher-worker-7
1772826822670,DECODE,23000ms,160,0,DefaultDispatcher-worker-35
1772826822670,PROCESS,23000ms,0,0,DefaultDispatcher-worker-35
